airline,year,nb_bumped,total_passengers
ELTA AIR LINES,2017,679,99796155
IRGIN AMERICA,2017,165,6090029
ETBLUE AIRWAYS,2017,1475,27255038
NITED AIRLINES,2017,2067,70030765
AWAIIAN AIRLINES,2017,92,8422734
XPRESSJET AIRLINES,2017,785,11738812
KYWEST AIRLINES,2017,917,24516354
MERICAN AIRLINES,2017,4517,98017132
LASKA AIRLINES,2017,658,18817924
OUTHWEST AIRLINES,2017,6678,115988988
RONTIER AIRLINES,2017,540,12059943
PIRIT AIRLINES,2017,1502,17069647
ELTA AIR LINES,2016,912,97237060
IRGIN AMERICA,2016,77,5927938
ETBLUE AIRWAYS,2016,2140,25990828
NITED AIRLINES,2016,2874,64438132
AWAIIAN AIRLINES,2016,30,8154838
XPRESSJET AIRLINES,2016,2541,16119866
KYWEST AIRLINES,2016,2177,22575383
MERICAN AIRLINES,2016,6598,99348093
LASKA AIRLINES,2016,734,17725197
OUTHWEST AIRLINES,2016,11907,112153048
RONTIER AIRLINES,2016,688,10895052
PIRIT AIRLINES,2016,1418,15234924
