,ID,name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in
0,23807,Gida,0.25,female,Unknown Mix,12/10/19,12/11/19,12/11/19,red,short,small,no,,,Maybe?,,,,
1,533,Frida És Ricsi,0.17,female,Unknown Mix,12/1/19,12/1/19,12/9/19,black and white,short,small,no,,yes,yes,yes,yes,yes,
2,23793,,4.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,short,medium,no,,,Maybe?,,,,
3,23795,,1.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,,,Maybe?,,,,
4,23806,Amy,2.0,female,French Bulldog Mix,12/10/19,12/11/19,12/11/19,black,short,small,no,,,Maybe?,,,,
5,23801,Alex,4.25,male,Unknown Mix,12/9/19,12/24/19,12/9/19,yellow-brown,short,small,yes,,,Maybe?,,,,
6,534,Ricsi És Frida,0.17,male,Unknown Mix,12/1/19,12/1/19,12/9/19,brown,short,small,no,,yes,yes,yes,yes,yes,
7,23805,,0.17,female,Unknown Mix,12/10/19,12/25/19,12/11/19,gray and white,short,medium,no,,,Maybe?,,,,
8,23809,,0.17,female,Unknown Mix,12/11/19,12/26/19,12/12/19,black,medium,medium,no,,,Maybe?,,,,
9,1801,Újhartyáni Mazsi,0.17,female,Unknown Mix,12/10/19,12/10/19,12/11/19,brown and white,short,small,no,,yes,yes,yes,yes,yes,flat
10,1222,Vasi,3.67,male,Vizsla Mix,10/25/19,10/25/19,12/12/19,red,short,medium,yes,,,Maybe?,,,,
11,23792,,1.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,medium,medium,no,,,Maybe?,,,,
12,23797,,5.0,female,Unknown Mix,12/8/19,12/23/19,12/8/19,brown,long,small,no,,,Maybe?,,,,
13,1800,Újhartyáni Frenki,0.17,male,Unknown Mix,12/10/19,12/10/19,12/11/19,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
14,532,Fickó,1.5,male,"Bull Terrier, Dachshund Mix",12/1/19,12/1/19,12/9/19,brown and white,short,medium,yes,,yes,yes,no,no,no,
15,23796,,8.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,black,medium,medium,no,,,Maybe?,,,,
16,1802,Újhartyáni Bori,0.17,female,Unknown Mix,12/10/19,12/10/19,12/11/19,tricolor,short,small,no,,yes,yes,yes,yes,yes,flat
17,1799,Dabasi Ixorn,0.83,male,Unknown Mix,12/5/19,12/5/19,12/9/19,black,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
18,23794,,1.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,,,Maybe?,,,,
19,1393,Gizmo,0.5,male,Unknown Mix,12/8/19,12/10/19,12/10/19,spotty,medium,small,yes,,,Maybe?,,,,
20,23788,Sába,7.58,female,Kuvasz,12/1/19,12/16/19,12/8/19,white,medium,large,yes,,,Maybe?,,,,
21,4492,Döme,1.0,male,Unknown Mix,11/25/19,11/25/19,12/7/19,black,medium,medium,,,yes,Maybe?,,,yes,both flat and garden
22,4484,Jocelyn,0.17,female,Unknown Mix,11/27/19,11/27/19,12/7/19,apricot,short,small,,,yes,Maybe?,yes,yes,,both flat and garden
23,23787,,0.67,female,Unknown Mix,12/7/19,12/22/19,12/7/19,yellow-brown,wirehaired,medium,no,,,Maybe?,,,,
24,4487,Katica,0.58,female,Unknown Mix,12/3/19,12/3/19,12/7/19,black,short,small,,,yes,Maybe?,,,,both flat and garden
25,4491,Bethany,5.0,female,Chinese Shar-Pei Mix,11/28/19,11/28/19,12/7/19,black and brown,short,medium,,,yes,Maybe?,,,,both flat and garden
26,4486,Cotta,0.15,female,Staffordshire Terrier Mix,12/1/19,12/1/19,12/7/19,brown and white,short,medium,,,yes,Maybe?,yes,yes,,both flat and garden
27,4488,Kehlani,0.42,female,German Shepherd Dog Mix,12/1/19,12/1/19,12/7/19,black and brown,short,medium,,,yes,Maybe?,,,,both flat and garden
28,23790,,6.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,saddle back,medium,medium,no,,,Maybe?,,,,
29,1798,Kakucsi Szikra,2.42,male,Hungarian Vizsla,12/7/19,12/7/19,12/7/19,brown,short,medium,no,,yes,yes,yes,yes,yes,both flat and garden
30,4489,Crosby,1.0,male,"Komondor, Puli Mix",11/27/19,11/27/19,12/7/19,golden,medium,medium,,,yes,Maybe?,,,,both flat and garden
31,23784,,0.58,male,"Bull Terrier, Staffordshire Terrier Mix",12/6/19,12/21/19,12/7/19,striped,short,medium,no,,,Maybe?,,,,
32,23789,,0.33,male,Unknown Mix,12/8/19,12/23/19,12/8/19,black,short,small,no,,,Maybe?,,,,
33,4490,Bowen,1.0,male,Unknown Mix,11/22/19,11/22/19,12/7/19,brown,medium,large,,,yes,Maybe?,,,,both flat and garden
34,4485,Panna,0.15,female,Staffordshire Terrier Mix,12/1/19,12/1/19,12/7/19,striped,short,medium,,,yes,Maybe?,yes,yes,,both flat and garden
35,1795,Szolnoki Joker,1.0,male,Fox Terrier Mix,12/7/19,12/7/19,12/7/19,black and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
36,1797,Sátoraljaújhelyi Dingó,2.0,male,Unknown Mix,12/5/19,12/5/19,12/7/19,yellow,short,medium,no,,yes,yes,yes,yes,,both flat and garden
37,4483,Valentin,0.67,male,Unknown Mix,12/3/19,12/3/19,12/7/19,apricot,short,small,,,yes,Maybe?,,,,both flat and garden
38,1796,Szolnoki Chris,1.0,male,Fox Terrier Mix,12/7/19,12/7/19,12/7/19,brown and white,wirehaired,small,yes,,yes,yes,yes,yes,,both flat and garden
39,23791,,4.0,male,Unknown Mix,12/8/19,12/23/19,12/8/19,yellow-brown,medium,medium,no,,,Maybe?,,,,
40,23778,Pufi,8.0,male,Unknown Mix,12/2/19,12/17/19,12/2/19,wild boar,short,small,no,,,Maybe?,,,,
41,1048,Velencei Fiffi,9.25,female,Afghan Hound,12/1/19,12/4/19,12/3/19,brown,long,medium,yes,yes,yes,Maybe?,,,,flat
