engine_fuel,color,transmission,price_usd
3,1,0,10900.0
3,1,0,5000.0
3,1,0,2800.0
3,1,1,9999.0
3,0,0,2134.11
3,1,0,14700.0
3,0,0,3000.0
3,1,0,4500.0
3,1,0,12900.0
3,1,0,4200.0
3,1,1,6900.0
3,1,0,8350.0
3,1,1,4300.0
3,1,1,1666.0
3,1,0,8600.0
3,0,0,7300.0
3,1,0,7587.97
3,1,1,10950.0
3,1,0,12700.0
3,0,0,16500.0
3,2,0,8700.0
3,1,0,7500.0
3,0,0,8650.0
3,1,0,3500.0
3,1,0,3800.0
3,1,0,7200.0
3,1,0,1850.0
3,1,0,3800.0
3,0,1,3000.0
3,0,1,6200.0
3,1,1,3700.0
2,0,0,650.0
3,1,1,2000.0
3,0,1,800.0
3,1,1,14950.0
3,0,0,5350.0
3,1,0,17059.12
3,1,1,1700.0
3,1,0,3500.0
3,1,1,3000.0
3,0,0,8100.0
2,1,1,8500.0
2,1,0,7500.0
3,1,0,3300.0
3,2,0,14950.0
3,1,0,4490.0
3,1,1,2650.0
3,1,0,6950.0
3,1,1,8200.0
3,0,0,16500.0
3,1,0,8500.0
3,1,1,6450.0
3,2,1,3150.0
3,1,1,1900.0
3,1,1,4899.0
3,0,1,2500.0
3,1,1,1700.0
3,1,0,1800.0
2,1,1,6150.0
3,1,0,12900.0
3,1,0,7250.0
3,1,1,900.0
3,1,0,9400.0
3,0,1,3300.0
3,2,0,8200.0
2,0,0,4200.0
3,1,1,2100.0
3,1,0,1499.0
3,0,0,9800.0
3,1,0,2500.0
3,1,1,3650.0
3,1,1,1400.0
3,1,1,5400.0
3,1,0,12950.0
3,0,0,15490.0
3,1,0,13500.0
3,1,1,2000.0
3,1,1,7500.0
3,1,0,5800.0
3,1,1,2750.0
3,1,0,3299.0
3,1,1,1400.0
3,1,0,9900.0
3,1,0,15900.0
3,1,1,13500.0
3,1,0,3750.0
3,1,0,3400.0
3,1,1,4250.0
3,0,1,5500.0
3,1,1,4100.0
3,1,1,7000.0
3,1,1,12600.0
3,1,0,5400.0
3,1,0,14500.0
3,1,0,3900.0
3,1,0,14227.45
3,1,0,17000.0
3,0,1,3750.0
3,1,0,6000.0
3,0,1,15500.0
3,1,1,1900.0
3,0,0,6499.0
3,1,0,5250.0
3,1,1,5199.0
